TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
,accounting,amount_round_digit,id,id,1,,NO,*id,1,
,accounting,amount_round_digit,amount_round_digit_code,金額丸め桁数コード,2,,NO,character(1),,CAPS：なし
,accounting,amount_round_digit,amount_round_digit_type,金額丸め桁数区分,3,,NO,accounting.amount_round_digit_type,,
,accounting,amount_round_digit,amount_round_digit_name,金額丸め桁数名,4,,NO,character varying(4),,CAPS：なし
,accounting,amount_round_digit,created_at,登録日時,5,,YES,timestamp,,
,accounting,amount_round_digit,updated_at,最終更新日時,6,,YES,timestamp,,
,accounting,amount_round_digit,updated_by,最終更新者,7,,YES,bigint,,ユーザーアカウントテーブルのID
,accounting,amount_round_digit,update_cause,最終更新契機,8,,YES,varchar(32),,機能名
,accounting,amount_round_digit,version,バージョン,9,,YES,bigint,,楽観ロック用
,accounting,excise_tax_after_apply_date,id,id,1,,NO,*id,1,
,accounting,excise_tax_after_apply_date,excise_tax,消費税,2,,NO,"numeric(3, 2)",,
,accounting,excise_tax_after_apply_date,apply_date,適用日,3,,NO,date,,
,accounting,excise_tax_after_apply_date,created_at,登録日時,4,,YES,timestamp,,
,accounting,excise_tax_after_apply_date,updated_at,最終更新日時,5,,YES,timestamp,,
,accounting,excise_tax_after_apply_date,updated_by,最終更新者,6,,YES,bigint,,ユーザーアカウントテーブルのID
,accounting,excise_tax_after_apply_date,update_cause,最終更新契機,7,,YES,varchar(32),,機能名
,accounting,excise_tax_after_apply_date,version,バージョン,8,,YES,bigint,,楽観ロック用
,accounting,excise_tax_before_apply_date,id,id,1,,NO,*id,1,
,accounting,excise_tax_before_apply_date,excise_tax,消費税,2,,NO,"numeric(3, 2)",,
,accounting,excise_tax_before_apply_date,created_at,登録日時,3,,YES,timestamp,,
,accounting,excise_tax_before_apply_date,updated_at,最終更新日時,4,,YES,timestamp,,
,accounting,excise_tax_before_apply_date,updated_by,最終更新者,5,,YES,bigint,,ユーザーアカウントテーブルのID
